clock_time,elapsed_time_min,carbon_source,od_600nm,date
12:32,0,glucose,0.022,2021-01-15
12:53,21,glucose,0.025,2021-01-15
13:16,44,glucose,0.032,2021-01-15
13:37,65,glucose,0.047,2021-01-15
13:59,87,glucose,0.057,2021-01-15
14:10,98,glucose,0.069,2021-01-15
14:26,114,glucose,0.085,2021-01-15
14:46,134,glucose,0.096,2021-01-15
15:04,152,glucose,0.117,2021-01-15
15:21,168,glucose,0.137,2021-01-15
15:43,190,glucose,0.197,2021-01-15
16:04,211,glucose,0.243,2021-01-15
16:21,228,glucose,0.3,2021-01-15
16:34,241,glucose,0.335,2021-01-15
16:43,252,glucose,0.432,2021-01-15