clock_time,elapsed_time_min,strain,od_600nm,carbon_source,date
12:20,0,GE046,0.059,glucose,2021-01-20
12:21,0,GE047,0.04,glucose,2021-01-20
12:21,0,GC001,0.064,glucose,2021-01-20
12:33,13,GE046,0.054,glucose,2021-01-20
12:33,12,GE047,0.041,glucose,2021-01-20
12:34,13,GC001,0.059,glucose,2021-01-20
12:45,24,GE047,0.048,glucose,2021-01-20
12:45,24,GC001,0.068,glucose,2021-01-20
12:46,26,GE046,0.066,glucose,2021-01-20
12:56,35,GE047,0.052,glucose,2021-01-20
12:57,36,GC001,0.08,glucose,2021-01-20
12:57,37,GE046,0.075,glucose,2021-01-20
13:08,47,GE047,0.053,glucose,2021-01-20
13:08,47,GC001,0.086,glucose,2021-01-20
13:09,49,GE046,0.082,glucose,2021-01-20
13:19,58,GE047,0.06,glucose,2021-01-20
13:20,59,GC001,0.097,glucose,2021-01-20
13:20,60,GE046,0.1,glucose,2021-01-20
13:31,70,GE047,0.07,glucose,2021-01-20
13:32,71,GC001,0.114,glucose,2021-01-20
13:33,73,GE046,0.114,glucose,2021-01-20
13:43,82,GE047,0.074,glucose,2021-01-20
13:43,82,GC001,0.134,glucose,2021-01-20
13:44,84,GE046,0.138,glucose,2021-01-20
13:55,94,GE047,0.081,glucose,2021-01-20
13:55,94,GC001,0.158,glucose,2021-01-20
13:56,96,GE046,0.166,glucose,2021-01-20
14:07,106,GE047,0.085,glucose,2021-01-20
14:07,106,GC001,0.189,glucose,2021-01-20
14:08,108,GE046,0.188,glucose,2021-01-20
14:19,118,GE047,0.098,glucose,2021-01-20
14:19,118,GC001,0.221,glucose,2021-01-20
14:20,120,GE046,0.213,glucose,2021-01-20
14:33,132,GE047,0.115,glucose,2021-01-20
14:33,132,GC001,0.254,glucose,2021-01-20
14:34,134,GE046,0.245,glucose,2021-01-20
14:44,143,GE047,0.126,glucose,2021-01-20
14:45,144,GC001,0.295,glucose,2021-01-20
14:45,145,GE046,0.304,glucose,2021-01-20
14:56,155,GE047,0.136,glucose,2021-01-20
14:57,156,GC001,0.321,glucose,2021-01-20
14:57,157,GE046,0.327,glucose,2021-01-20
15:08,167,GE047,0.153,glucose,2021-01-20
15:09,168,GC001,0.373,glucose,2021-01-20
15:09,169,GE046,0.401,glucose,2021-01-20
15:20,179,GE047,0.169,glucose,2021-01-20
15:20,179,GC001,0.434,glucose,2021-01-20
15:21,181,GE046,0.441,glucose,2021-01-20
15:33,193,GE047,0.169,glucose,2021-01-20