clock_time,elapsed_time_min,strain,od_600nm,carbon_source,date,tube_size
14:46,0,GE046,0.022,glucose,2021-01-20,20 mL
14:46,0,GC001,0.022,glucose,2021-01-20,20 mL
14:58,12,GC001,0.023,glucose,2021-01-20,20 mL
14:58,12,GE046,0.025,glucose,2021-01-20,20 mL
15:10,24,GC001,0.028,glucose,2021-01-20,20 mL
15:10,24,GE046,0.027,glucose,2021-01-20,20 mL
15:22,36,GC001,0.033,glucose,2021-01-20,20 mL
15:22,36,GE046,0.035,glucose,2021-01-20,20 mL
15:34,48,GC001,0.036,glucose,2021-01-20,20 mL
15:34,48,GE046,0.04,glucose,2021-01-20,20 mL
15:45,59,GC001,0.046,glucose,2021-01-20,20 mL
15:45,59,GE046,0.044,glucose,2021-01-20,20 mL
15:56,70,GC001,0.051,glucose,2021-01-20,20 mL
15:57,71,GE046,0.056,glucose,2021-01-20,20 mL
16:11,85,GE046,0.07,glucose,2021-01-20,20 mL
16:11,85,GC001,0.068,glucose,2021-01-20,20 mL
16:22,96,GC001,0.08,glucose,2021-01-20,20 mL
16:23,97,GE046,0.085,glucose,2021-01-20,20 mL
16:33,107,GC001,0.096,glucose,2021-01-20,20 mL
16:34,108,GE046,0.103,glucose,2021-01-20,20 mL
16:45,119,GC001,0.118,glucose,2021-01-20,20 mL
16:46,120,GE046,0.125,glucose,2021-01-20,20 mL
16:57,131,GE046,0.145,glucose,2021-01-20,20 mL
16:57,131,GC001,0.146,glucose,2021-01-20,20 mL
17:09,144,GC001,0.165,glucose,2021-01-20,20 mL
17:09,144,GE046,0.174,glucose,2021-01-20,20 mL
17:20,155,GC001,0.194,glucose,2021-01-20,20 mL
17:21,156,GE046,0.202,glucose,2021-01-20,20 mL
17:32,167,GC001,0.222,glucose,2021-01-20,20 mL
17:33,168,GE046,0.232,glucose,2021-01-20,20 mL
17:43,178,GC001,0.259,glucose,2021-01-20,20 mL
17:44,179,GE046,0.264,glucose,2021-01-20,20 mL
17:56,191,GC001,0.291,glucose,2021-01-20,20 mL
17:56,191,GE046,0.291,glucose,2021-01-20,20 mL
18:07,202,GC001,0.327,glucose,2021-01-20,20 mL
18:07,202,GE046,0.334,glucose,2021-01-20,20 mL
18:18,213,GC001,0.352,glucose,2021-01-20,20 mL
18:19,214,GE046,0.382,glucose,2021-01-20,20 mL
18:31,226,GC001,0.395,glucose,2021-01-20,20 mL
18:32,227,GE046,0.396,glucose,2021-01-20,20 mL