clock_time,elapsed_time_min,preculture_id,tube_diam_mm,od_600nm,carbon_source,date
14:00,0,1,25,0.055,glucose,2021-01-21
14:00,0,2,25,0.047,glucose,2021-01-21
14:01,0,1,20,0.041,glucose,2021-01-21
14:01,0,2,20,0.034,glucose,2021-01-21
14:12,12,1,25,0.059,glucose,2021-01-21
14:12,12,2,25,0.05,glucose,2021-01-21
14:13,12,1,20,0.049,glucose,2021-01-21
14:13,12,2,20,0.043,glucose,2021-01-21
14:24,24,1,25,0.068,glucose,2021-01-21
14:24,24,2,25,0.057,glucose,2021-01-21
14:25,24,1,20,0.061,glucose,2021-01-21
14:25,24,2,20,0.046,glucose,2021-01-21
14:36,36,1,25,0.08,glucose,2021-01-21
14:37,36,2,25,0.065,glucose,2021-01-21
14:37,36,1,20,0.064,glucose,2021-01-21
14:37,36,2,20,0.054,glucose,2021-01-21
14:48,48,1,25,0.081,glucose,2021-01-21
14:48,48,2,25,0.081,glucose,2021-01-21
14:49,48,1,20,0.075,glucose,2021-01-21
14:49,48,2,20,0.061,glucose,2021-01-21
15:02,62,1,25,0.114,glucose,2021-01-21
15:02,62,2,25,0.094,glucose,2021-01-21
15:03,62,1,20,0.09,glucose,2021-01-21
15:03,62,2,20,0.073,glucose,2021-01-21
15:14,74,1,25,0.133,glucose,2021-01-21
15:15,75,2,25,0.112,glucose,2021-01-21
15:15,74,1,20,0.106,glucose,2021-01-21
15:16,75,2,20,0.086,glucose,2021-01-21
15:27,87,1,25,0.158,glucose,2021-01-21
15:27,87,2,25,0.134,glucose,2021-01-21
15:28,87,1,20,0.127,glucose,2021-01-21
15:28,87,2,20,0.102,glucose,2021-01-21
15:39,99,1,25,0.187,glucose,2021-01-21
15:40,100,2,25,0.158,glucose,2021-01-21
15:40,99,1,20,0.149,glucose,2021-01-21
15:41,100,2,20,0.119,glucose,2021-01-21
15:52,112,1,25,0.22,glucose,2021-01-21
15:52,112,2,25,0.184,glucose,2021-01-21
15:53,112,1,20,0.172,glucose,2021-01-21
15:53,112,2,20,0.142,glucose,2021-01-21
16:04,124,1,25,0.257,glucose,2021-01-21
16:05,125,2,25,0.208,glucose,2021-01-21
16:05,124,1,20,0.203,glucose,2021-01-21
16:06,125,2,20,0.167,glucose,2021-01-21
16:17,137,1,25,0.294,glucose,2021-01-21
16:17,137,2,25,0.252,glucose,2021-01-21
16:18,137,1,20,0.229,glucose,2021-01-21
16:18,137,2,20,0.193,glucose,2021-01-21
16:29,149,1,25,0.34,glucose,2021-01-21
16:29,149,2,25,0.286,glucose,2021-01-21
16:30,149,1,20,0.261,glucose,2021-01-21
16:30,149,2,20,0.221,glucose,2021-01-21
17:17,196,2,20,0.361,glucose,2021-01-21
17:18,197,1,20,0.39,glucose,2021-01-21