clock_time,elapsed_time_min,media,od_600nm,carbon_source,date
13:47,0,N-C-,0.021,glucose,2021-01-29
13:48,0,N-C- + Mg,0.03,glucose,2021-01-29
13:49,0,MOPS,0.024,glucose,2021-01-29
13:49,0,N-C- + µ,0.032,glucose,2021-01-29
13:49,0,MOPS + Mg,0.022,glucose,2021-01-29
13:50,0,N-C- + µ + Mg,0.019,glucose,2021-01-29
14:22,35,N-C-,0.036,glucose,2021-01-29
14:22,34,N-C- + Mg,0.049,glucose,2021-01-29
14:23,34,MOPS,0.04,glucose,2021-01-29
14:23,34,N-C- + µ,0.053,glucose,2021-01-29
14:23,34,MOPS + Mg,0.039,glucose,2021-01-29
14:24,34,N-C- + µ + Mg,0.032,glucose,2021-01-29
14:35,48,N-C-,0.039,glucose,2021-01-29
14:35,47,N-C- + Mg,0.061,glucose,2021-01-29
14:36,47,MOPS,0.048,glucose,2021-01-29
14:36,47,N-C- + µ,0.065,glucose,2021-01-29
14:37,48,MOPS + Mg,0.047,glucose,2021-01-29
14:37,47,N-C- + µ + Mg,0.037,glucose,2021-01-29
14:50,63,N-C-,0.048,glucose,2021-01-29
14:51,63,N-C- + Mg,0.076,glucose,2021-01-29
14:51,62,MOPS,0.058,glucose,2021-01-29
14:52,63,N-C- + µ,0.082,glucose,2021-01-29
14:52,63,MOPS + Mg,0.06,glucose,2021-01-29
14:53,63,N-C- + µ + Mg,0.05,glucose,2021-01-29
15:03,76,N-C-,0.056,glucose,2021-01-29
15:04,76,N-C- + Mg,0.087,glucose,2021-01-29
15:04,75,MOPS,0.072,glucose,2021-01-29
15:05,76,N-C- + µ,0.102,glucose,2021-01-29
15:05,76,MOPS + Mg,0.074,glucose,2021-01-29
15:06,76,N-C- + µ + Mg,0.057,glucose,2021-01-29
15:17,90,N-C-,0.067,glucose,2021-01-29
15:17,89,N-C- + Mg,0.107,glucose,2021-01-29
15:17,88,MOPS,0.085,glucose,2021-01-29
15:18,89,N-C- + µ,0.127,glucose,2021-01-29
15:18,89,MOPS + Mg,0.09,glucose,2021-01-29
15:19,89,N-C- + µ + Mg,0.071,glucose,2021-01-29
15:30,103,N-C-,0.08,glucose,2021-01-29
15:30,102,N-C- + Mg,0.127,glucose,2021-01-29
15:31,102,MOPS,0.104,glucose,2021-01-29
15:31,102,N-C- + µ,0.156,glucose,2021-01-29
15:32,103,MOPS + Mg,0.111,glucose,2021-01-29
15:32,102,N-C- + µ + Mg,0.085,glucose,2021-01-29
15:44,117,N-C-,0.1,glucose,2021-01-29
15:45,117,N-C- + Mg,0.16,glucose,2021-01-29
15:45,116,N-C- + µ,0.185,glucose,2021-01-29
15:46,117,MOPS + Mg,0.139,glucose,2021-01-29
15:45,116,MOPS,0.124,glucose,2021-01-29
15:46,116,N-C- + µ + Mg,0.105,glucose,2021-01-29
16:01,134,N-C-,0.123,glucose,2021-01-29
16:02,134,N-C- + Mg,0.196,glucose,2021-01-29
16:02,133,MOPS,0.166,glucose,2021-01-29
16:03,134,N-C- + µ,0.25,glucose,2021-01-29
16:03,134,MOPS + Mg,0.187,glucose,2021-01-29
16:04,134,N-C- + µ + Mg,0.142,glucose,2021-01-29
16:15,148,N-C-,0.15,glucose,2021-01-29
16:15,147,N-C- + Mg,0.24,glucose,2021-01-29
16:16,147,MOPS,0.203,glucose,2021-01-29
16:16,147,N-C- + µ,0.303,glucose,2021-01-29
16:17,148,MOPS + Mg,0.233,glucose,2021-01-29
16:17,147,N-C- + µ + Mg,0.174,glucose,2021-01-29
16:29,162,N-C-,0.18,glucose,2021-01-29
16:30,162,N-C- + Mg,0.295,glucose,2021-01-29
16:30,161,MOPS,0.251,glucose,2021-01-29
16:31,162,N-C- + µ,0.384,glucose,2021-01-29
16:31,162,MOPS + Mg,0.286,glucose,2021-01-29
16:32,162,N-C- + µ + Mg,0.217,glucose,2021-01-29
16:42,175,N-C-,0.217,glucose,2021-01-29
16:43,175,N-C- + Mg,0.35,glucose,2021-01-29
16:43,174,MOPS,0.308,glucose,2021-01-29
16:44,175,N-C- + µ,0.46,glucose,2021-01-29
16:45,175,N-C- + µ + Mg,0.26,glucose,2021-01-29