clock_time,elapsed_time_min,media,micronutrient,od_600nm,carbon_source,date
14:34,0,Griffin,1,0.064,glucose,2020-02-01
14:34,0,Richa,1,0.051,glucose,2020-02-01
14:35,0,Roshali,1,0.045,glucose,2020-02-01
14:35,0,Jonas,1,0.065,glucose,2020-02-01
14:35,0,Griffin,0,0.045,glucose,2020-02-01
14:36,0,Richa,0,0.034,glucose,2020-02-01
14:36,0,Roshali,0,0.027,glucose,2020-02-01
14:37,0,Jonas,0,0.037,glucose,2020-02-01
14:48,14,Griffin,1,0.073,glucose,2020-02-01
14:49,15,Richa,1,0.065,glucose,2020-02-01
14:49,14,Roshali,1,0.05,glucose,2020-02-01
14:49,14,Jonas,1,0.079,glucose,2020-02-01
14:50,15,Griffin,0,0.054,glucose,2020-02-01
14:50,14,Richa,0,0.034,glucose,2020-02-01
14:51,15,Roshali,0,0.04,glucose,2020-02-01
14:51,14,Jonas,0,0.04,glucose,2020-02-01
15:02,28,Griffin,1,0.096,glucose,2020-02-01
15:03,29,Richa,1,0.08,glucose,2020-02-01
15:03,28,Roshali,1,0.066,glucose,2020-02-01
15:04,29,Jonas,1,0.102,glucose,2020-02-01
15:04,28,Richa,0,0.041,glucose,2020-02-01
15:04,29,Griffin,0,0.064,glucose,2020-02-01
15:05,29,Roshali,0,0.052,glucose,2020-02-01
15:05,28,Jonas,0,0.053,glucose,2020-02-01
15:16,42,Griffin,1,0.119,glucose,2020-02-01
15:17,43,Richa,1,0.099,glucose,2020-02-01
15:17,42,Roshali,1,0.081,glucose,2020-02-01
15:18,43,Jonas,1,0.129,glucose,2020-02-01
15:18,43,Griffin,0,0.077,glucose,2020-02-01
15:18,42,Richa,0,0.05,glucose,2020-02-01
15:19,43,Roshali,0,0.06,glucose,2020-02-01
15:19,42,Jonas,0,0.061,glucose,2020-02-01
15:30,56,Griffin,1,0.144,glucose,2020-02-01
15:31,57,Richa,1,0.122,glucose,2020-02-01
15:31,56,Roshali,1,0.101,glucose,2020-02-01
15:31,56,Jonas,1,0.16,glucose,2020-02-01
15:32,57,Griffin,0,0.95,glucose,2020-02-01
15:32,56,Richa,0,0.054,glucose,2020-02-01
15:33,57,Roshali,0,0.072,glucose,2020-02-01
15:33,56,Jonas,0,0.071,glucose,2020-02-01
15:44,70,Griffin,1,0.182,glucose,2020-02-01
15:45,71,Richa,1,0.154,glucose,2020-02-01
15:45,70,Roshali,1,0.128,glucose,2020-02-01
15:46,71,Griffin,0,0.116,glucose,2020-02-01
15:46,70,Richa,0,0.065,glucose,2020-02-01
15:47,71,Roshali,0,0.091,glucose,2020-02-01
15:47,70,Jonas,0,0.089,glucose,2020-02-01
15:45,70,Jonas,1,0.202,glucose,2020-02-01
15:58,84,Griffin,1,0.23,glucose,2020-02-01
15:59,85,Richa,1,0.19,glucose,2020-02-01
15:59,84,Roshali,1,0.182,glucose,2020-02-01
16:00,85,Jonas,1,0.251,glucose,2020-02-01
16:00,85,Griffin,0,0.143,glucose,2020-02-01
16:00,84,Richa,0,0.078,glucose,2020-02-01
16:01,85,Roshali,0,0.112,glucose,2020-02-01
16:01,84,Jonas,0,0.106,glucose,2020-02-01
16:12,98,Griffin,1,0.289,glucose,2020-02-01
16:13,99,Richa,1,0.237,glucose,2020-02-01
16:13,98,Roshali,1,0.196,glucose,2020-02-01
16:14,99,Jonas,1,0.317,glucose,2020-02-01
16:14,99,Griffin,0,0.177,glucose,2020-02-01
16:14,98,Richa,0,0.092,glucose,2020-02-01
16:15,99,Roshali,0,0.135,glucose,2020-02-01
16:15,98,Jonas,0,0.132,glucose,2020-02-01
16:26,112,Griffin,1,0.363,glucose,2020-02-01
16:27,113,Richa,1,0.295,glucose,2020-02-01
16:27,112,Roshali,1,0.243,glucose,2020-02-01
16:28,113,Jonas,1,0.391,glucose,2020-02-01
16:28,113,Griffin,0,0.215,glucose,2020-02-01
16:29,113,Roshali,0,0.164,glucose,2020-02-01
16:28,112,Richa,0,0.108,glucose,2020-02-01
16:29,112,Jonas,0,0.161,glucose,2020-02-01
16:40,126,Griffin,1,0.441,glucose,2020-02-01
16:41,127,Richa,1,0.362,glucose,2020-02-01
16:41,126,Roshali,1,0.303,glucose,2020-02-01
16:41,126,Jonas,1,0.482,glucose,2020-02-01
16:42,127,Griffin,0,0.262,glucose,2020-02-01
16:43,127,Roshali,0,0.202,glucose,2020-02-01
16:42,126,Richa,0,0.127,glucose,2020-02-01
16:43,126,Jonas,0,0.189,glucose,2020-02-01